,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
136,Senador Jose Porfirio,87,BR,1560207771,91,-2.59,-51.95,77.27,5.21
137,Kerouane,100,GN,1560207773,58,12.23,-12.34,86.63,10.36
138,Kaputa,0,ZM,1560207774,67,-8.47,29.66,61.97,6.93
139,Salinopolis,31,BR,1560207775,79,-0.61,-47.36,82.13,12.12
140,Kintampo,100,GH,1560207776,92,8.05,-1.73,74.39,7.83
141,Mpanda,0,TZ,1560207777,64,-6.34,31.07,60.53,4.85
142,Keffi,20,NG,1560207779,83,8.85,7.88,78.8,2.24
143,Wattegama,100,LK,1560207780,82,7.35,80.68,75.83,5.53
144,Kpandae,100,GH,1560207781,89,8.46,-0.01,76.19,7.34
145,Thinadhoo,79,MV,1560207782,75,0.53,72.93,83.21,7.23
146,Dabat,100,ET,1560207784,80,12.98,37.77,68.81,0.78
147,Nakasongola,44,UG,1560207785,95,1.32,32.46,63.23,2.01
148,Oros,0,HU,1560207786,77,47.95,21.8,69.8,6.93
149,Japura,39,ID,1560207787,87,-0.42,102.29,75.83,2.89
150,Sao Felix do Xingu,0,BR,1560207629,82,-6.64,-51.99,73.85,3.76
151,Oranjestad,20,AW,1560207790,74,12.52,-70.03,84.2,25.28
152,Lethem,87,GY,1560207786,78,3.38,-59.8,79.43,9.4
153,Moba,0,CD,1560207792,73,-7.04,29.77,56.57,3.06
154,Manacapuru,40,BR,1560207793,78,-3.3,-60.62,80.6,2.24
155,Sassandra,57,CI,1560207794,94,4.95,-6.09,73.49,2.77
156,Foumban,71,CM,1560207664,91,5.73,10.9,63.05,0.45
157,Kampene,27,CD,1560207797,67,-3.59,26.67,65.03,1.72
158,Mamallapuram,40,IN,1560207798,49,12.63,80.17,91.4,10.29
159,Birao,100,CF,1560207799,80,10.3,22.78,76.91,19.3
160,Lamu,97,ID,1560207800,78,0.57,122.3,80.15,1.81
161,Bouna,100,CI,1560207802,91,9.27,-3.0,74.39,8.52
162,Kamakwie,100,SL,1560207803,93,9.5,-12.24,76.73,4.34
163,Lambarene,30,GA,1560207804,92,-0.7,10.22,72.59,3.58
164,Orocue,100,CO,1560207805,96,4.79,-71.34,72.95,4.72
165,Yokadouma,100,CM,1560207806,97,3.52,15.05,69.53,1.48
166,Kibre Mengist,98,ET,1560207808,99,5.87,38.99,53.69,2.46
167,Tshikapa,32,CD,1560207809,41,-6.42,20.79,69.89,2.08
168,Banyo,95,CM,1560207810,88,6.75,11.81,63.95,4.54
169,Niono,93,ML,1560207811,40,14.25,-5.99,93.29,18.97
170,Monte Alegre,93,BR,1560207813,97,-2.0,-54.07,75.11,3.0
171,Kissidougou,100,GN,1560207814,96,9.19,-10.1,70.97,3.6
172,Musoma,26,TZ,1560207815,67,-1.5,33.81,73.13,4.81
173,Boundiali,100,CI,1560207816,94,9.53,-6.48,73.67,5.75
174,Kutum,71,SD,1560207818,43,14.2,24.66,81.05,8.05
175,Pobe,99,BJ,1560207819,95,6.98,2.66,74.75,4.29
176,Bunia,64,CD,1560207820,96,1.56,30.25,64.31,3.29
177,Kumba,98,CM,1560207821,88,4.64,9.44,75.47,2.75
178,Puerto Narino,75,CO,1560207822,100,-3.77,-70.38,75.2,4.7
179,Minna,0,NG,1560207824,78,9.62,6.55,82.4,5.82
180,Alampur,100,IN,1560207825,50,15.88,78.14,88.43,14.65
181,Caucaia,40,BR,1560207557,74,-3.73,-38.66,82.4,16.11
182,Anuradhapura,100,LK,1560207827,82,8.34,80.41,81.59,9.42
183,Ipixuna,97,BR,1560207828,97,-1.76,-48.8,74.21,2.8
184,Natal,75,BR,1560207830,88,-5.81,-35.21,77.0,5.82
185,Garowe,68,SO,1560207831,64,8.41,48.48,78.17,22.79
186,Amapa,75,HN,1560207832,66,15.09,-87.97,87.8,9.17
187,Tshela,38,CD,1560207833,98,-4.99,12.94,67.55,0.78
188,Puerto Carreno,75,CO,1560207577,88,6.19,-67.49,78.8,5.99
189,Jimma,97,ET,1560207836,97,7.67,36.84,57.83,1.74
190,Sokolo,100,ML,1560207837,28,14.74,-6.12,99.59,7.11
191,Narok,92,KE,1560207839,87,-1.09,35.87,55.85,7.81
192,Ippy,94,CF,1560207840,72,6.26,21.2,73.13,2.42
193,Ankpa,74,NG,1560207841,85,7.37,7.63,76.91,9.78
194,Lalibela,27,ET,1560207842,57,12.04,39.05,65.57,1.72
195,Nioro,98,GM,1560207844,50,13.79,-15.05,83.75,14.83
196,Kangaba,92,ML,1560207845,53,11.94,-8.41,86.81,4.5
197,Paracuru,40,BR,1560207846,74,-3.41,-39.03,82.4,16.11
198,Bilma,0,NE,1560207847,9,18.69,12.92,87.35,10.63
199,Meulaboh,100,ID,1560207849,84,4.14,96.13,80.87,6.69
200,Moundou,59,TD,1560207850,75,8.57,16.07,77.81,5.46
201,Totness,90,US,1560207851,100,33.74,-80.8,81.0,6.93
202,Port-Gentil,20,GA,1560207853,88,-0.72,8.78,77.0,6.93
203,Dakar,37,SN,1560207724,88,14.69,-17.45,75.2,9.17
204,Guiglo,99,CI,1560207855,99,6.55,-7.5,71.15,2.55
205,Jamestown,0,AU,1560207857,31,-33.21,138.6,59.27,9.91
206,Maraba,0,BR,1560207858,62,-5.35,-49.1,86.0,2.24
207,Mandera,12,ET,1560207859,60,3.94,41.86,79.79,16.31
208,Cabinda,38,AO,1560207860,86,-5.56,12.19,75.29,3.15
209,Rafai,96,CF,1560207862,64,4.95,23.92,72.77,1.66
210,Gummidipundi,40,IN,1560207863,49,13.42,80.13,91.4,10.29
211,Qandala,70,SO,1560207864,61,11.47,49.87,89.33,12.21
212,Pailitas,99,CO,1560207866,77,8.96,-73.63,83.21,3.36
213,Hospet,99,IN,1560207867,69,15.27,76.4,79.79,20.13
214,La Asuncion,85,EC,1560207868,96,-1.64,-78.74,46.13,4.21
215,Kralendijk,75,BQ,1560207869,74,12.15,-68.27,84.2,24.16
216,Agustin Codazzi,75,CO,1560207871,79,10.03,-73.24,84.2,5.82
217,Marienburg,0,DE,1560207872,77,52.12,9.98,68.0,2.24
218,Santa Isabel do Rio Negro,75,BR,1560207873,98,-0.41,-65.02,75.11,1.7
219,Kakonko,6,TZ,1560207874,74,-3.28,30.97,59.99,1.99
220,Daoukro,100,CI,1560207875,99,7.06,-3.97,71.87,2.59
221,Wad Rawah,79,SD,1560207877,43,15.16,33.13,91.31,16.35
222,Oriximina,99,BR,1560207878,88,-1.77,-55.87,78.71,5.41
223,Fonte Boa,78,BR,1560207879,84,-2.51,-66.09,78.35,2.51
224,Soure,40,PT,1560207708,82,40.06,-8.63,59.0,4.7
225,Moratuwa,90,LK,1560207881,100,6.77,79.88,75.2,3.36
226,Trincomalee,100,LK,1560207883,77,8.58,81.23,80.69,8.32
227,Yanam,96,IN,1560207884,76,16.73,82.22,84.11,3.4
228,Dagana,68,MR,1560207885,49,16.52,-15.51,80.15,15.41
229,Binga,0,ZW,1560207886,69,-17.62,27.34,53.69,0.07
230,Apac,64,UG,1560207888,95,1.98,32.53,64.31,0.81
231,Vila do Maio,20,CV,1560207889,78,15.13,-23.22,75.2,18.34
232,Manicore,84,BR,1560207786,68,-5.81,-61.3,80.87,1.77
233,Tambacounda,100,SN,1560207891,26,13.77,-13.67,98.15,4.38
234,Biltine,47,TD,1560207892,30,14.53,20.93,91.13,6.67
235,Tucurui,7,BR,1560207894,72,-3.77,-49.67,78.53,2.42
236,Kabalo,13,CD,1560207895,47,-6.05,26.92,69.53,3.71
237,Mbanza-Ngungu,38,CD,1560207896,60,-5.25,14.87,69.71,3.0
238,Arroyo,90,US,1560207897,88,41.39,-78.88,68.0,5.82
239,Saint-Georges,100,CA,1560207898,65,46.12,-70.67,71.01,9.22
240,Mhango,1,TZ,1560207900,67,-2.75,33.92,65.75,6.46
241,Biu,68,NG,1560207901,52,10.61,12.19,81.23,7.61
242,Gedo,92,ET,1560207902,96,9.01,37.45,59.63,0.49
243,Kayanga,24,TZ,1560207903,89,-1.53,31.15,60.71,2.84
244,Lodwar,24,KE,1560207904,54,3.12,35.6,81.59,3.31
245,Tanda,7,IN,1560207906,15,31.67,75.63,89.69,6.69
246,Sur,18,OM,1560207907,29,22.57,59.53,97.25,11.21
247,Carupano,0,VE,1560207610,69,10.67,-63.26,78.89,5.66
248,Barcelos,40,PT,1560207642,87,41.53,-8.62,59.0,10.29
249,Rabak,88,SD,1560207910,55,13.18,32.74,86.27,17.49
250,Kikwit,38,CD,1560207912,40,-5.04,18.82,71.69,3.15
251,Meiganga,87,CM,1560207913,93,6.52,14.29,64.67,1.01
252,Saint-Francois,0,FR,1560207914,87,46.42,3.91,51.8,1.32
253,Voi,0,KE,1560207915,89,-3.4,38.57,64.67,5.77
254,Kigoma,0,TZ,1560207916,62,-4.88,29.64,74.03,3.76
255,Morant Bay,20,JM,1560207918,66,17.88,-76.41,86.0,24.16
256,San Carlos,100,VE,1560207920,94,9.66,-68.59,73.67,3.96
257,Kalemie,0,CD,1560207921,81,-5.95,29.2,61.79,4.27
258,Harper,1,US,1560207922,54,30.3,-99.24,81.0,9.17
259,Les Cayes,26,HT,1560207923,79,18.19,-73.75,82.85,17.69
260,Nara,75,JP,1560207924,77,34.68,135.8,72.0,5.82
261,Mogadishu,100,SO,1560207653,80,2.04,45.34,77.81,13.11
262,Kanniyakumari,99,IN,1560207846,80,8.08,77.57,83.39,20.38
263,Umm Kaddadah,61,SD,1560207928,40,13.6,26.69,89.69,8.63
264,Diffa,40,NE,1560207929,26,13.32,12.61,92.93,4.63
265,Phirangipuram,100,IN,1560207930,64,16.29,80.26,89.69,8.77
266,Beinamar,100,TD,1560207931,80,8.67,15.38,75.47,3.13
267,Caraballeda,100,VE,1560207933,72,10.61,-66.85,72.0,5.77
268,Bondo,90,CD,1560207934,69,3.81,23.69,70.97,2.33
269,El Dorado,100,VE,1560207935,99,6.71,-61.64,70.43,3.04
270,Paragominas,92,BR,1560207936,97,-3.0,-47.35,73.49,2.89
271,Canutama,63,BR,1560207938,74,-6.53,-64.38,76.73,2.48
272,Alcantara,100,PH,1560207939,80,9.97,123.41,78.89,4.0
273,Luba,85,PH,1560207940,68,17.32,120.7,85.37,5.68
274,Puerto Colombia,75,CO,1560207941,88,10.99,-74.96,82.4,5.82
275,Bangangte,100,CM,1560207943,99,5.14,10.52,68.09,2.77
276,Magadi,40,IN,1560207944,94,12.96,77.22,73.4,12.75
277,Mwene-Ditu,32,CD,1560207945,42,-7.01,23.45,65.57,3.15
278,Abeche,73,TD,1560207946,31,13.83,20.83,89.51,8.21
